番号,九十九の力,生命,気合,腕力,耐久,器用,知力,魅力,土,水,火,風,入手
1,八幡神の武運,1800,0,180,0,0,180,90,0,0,0,0,開運之抽選帳・午 or 抽選券：2026年
2,英雄無敵,1200,0,80,80,80,80,80,0,0,0,0,天下分け目の決戦：イベント※当世英雄×２合成
3,神獅血途,1200,0,0,0,120,0,20,0,0,0,0,招福の小槌：イベント品
4,天虎雄力,1200,0,20,120,0,0,0,0,0,0,0,招福の小槌：イベント品
5,猛形怒眼,1200,0,120,0,0,0,20,0,0,0,0,招福の小槌：イベント品
6,毘嵐忽至,1200,0,0,0,0,20,0,120,120,120,120,招福の小槌：イベント品
7,天焦轟炎,1200,0,100,0,20,0,0,0,0,0,0,招福の小槌：イベント品
8,朧月絶閃,1200,0,0,0,20,100,0,0,0,0,0,招福の小槌：イベント品
9,来方神の豊穣,1200,0,130,130,70,130,70,0,0,0,0,開運之抽選帳・巳 or 抽選券：2025年
10,辰年盛運,1200,0,120,120,80,120,80,0,0,0,0,開運之抽選帳・辰 or 抽選券：2024年
11,福運の才覚,1100,0,0,0,0,100,30,0,0,0,0,福袋（※過去に販売）
12,春駒の活力,1100,0,100,30,0,0,0,0,0,0,0,福袋（※過去に販売）
13,水天一碧,1100,0,80,60,0,0,0,0,0,0,0,黄泉の果て：35000PT
14,百折不撓,1100,0,0,0,0,80,0,60,60,60,60,黄泉の果て：35000PT
15,扶正去邪,1100,0,0,0,80,0,60,0,0,0,0,黄泉の果て：35000PT
16,病苦超越,1100,0,0,0,0,90,0,0,0,0,0,黄金九十九箱・牛で交換可能
17,忠勇義烈・弐,1100,0,0,110,0,0,110,0,0,0,0,神将評勲(上覧)： 10000PT
18,才智覚醒・弐,1100,0,0,0,0,110,110,0,0,0,0,神将評勲(上覧)： 10000PT
19,怪力無双・弐,1100,0,110,0,0,0,110,0,0,0,0,神将評勲(上覧)： 10000PT
20,舎生取義,1000,0,0,0,0,120,0,40,40,40,40,招福の小槌：イベント品
21,無事長久,1000,0,80,80,0,0,0,0,0,0,0,招福の小槌：イベント品
22,合縁奇縁,1000,0,0,0,0,0,0,100,100,100,100,バレンタイン：ログインボーナス
23,回山倒海,1000,0,0,100,0,0,10,0,0,0,0,福袋（※過去に販売）
24,幽冥流光,1000,0,35,35,35,35,35,0,0,0,0,黄金九十九箱・牛で交換可能
25,百歩穿楊,1000,0,0,55,0,0,30,0,0,0,0,黄金九十九箱・牛で交換可能
26,主の祝福,1000,0,40,0,0,40,50,0,0,0,0,黄金九十九箱・牛で交換可能
27,四季流転,1000,0,70,0,0,0,0,10,10,10,10,黄金九十九箱・巳で交換可能
28,地息の神髄,1000,0,0,50,0,0,50,0,0,0,0,地武の神髄×守護者の神髄
29,当世英雄,1000,0,60,60,0,60,60,0,0,0,0,天下分け目の決戦：イベント※銀→金→黄金に合成が必要
30,祝祭の加護,1000,0,100,100,80,100,80,0,0,0,0,開運之抽選帳・卯：2023年
31,忠勇義烈,1000,0,0,100,0,0,100,0,0,0,0,金×２合成※2026年3月18日以降入手不可
32,才智覚醒,1000,0,0,0,0,100,100,0,0,0,0,金×２合成※2026年3月18日以降入手不可
33,怪力無双,1000,0,100,0,0,0,100,0,0,0,0,金×２合成※2026年3月18日以降入手不可
34,忠義の魂,950,0,80,0,20,0,0,0,0,0,0,黄金九十九箱・牛で交換可能
35,虎嘯風生,950,0,80,0,0,0,35,0,0,0,0,黄金九十九箱・牛で交換可能
65,獅子の才,900,0,50,20,20,50,20,0,0,0,0,黄金九十九箱・牛で交換可能
66,血色桔梗,900,0,20,20,20,20,20,20,20,20,20,黄金九十九箱・牛で交換可能
67,天駆の神髄,900,0,70,0,40,0,0,0,0,0,0,天武の神髄×武芸者の神髄
68,天理の神髄,900,0,0,0,0,70,40,0,0,0,0,天武の神髄×智者の神髄
69,天授の神髄,900,0,0,55,0,0,55,0,0,0,0,天武の神髄×守護者の神髄
70,天威の神髄,900,0,30,30,30,30,30,30,30,30,30,天武の神髄×多才の神髄
71,地妖の神髄,900,0,70,0,0,0,40,0,0,0,0,地武の神髄×武芸者の神髄
72,地鳴の神髄,900,0,0,0,0,70,0,40,40,40,40,地武の神髄×智者の神髄
73,地維の神髄,900,0,0,0,0,0,0,120,120,120,120,地武の神髄×多才の神髄
74,竹雀従龍,900,0,80,0,40,80,0,0,0,0,0,英傑探訪：越後
75,俊英豪傑,900,0,90,0,40,0,0,0,0,0,0,天下統一奇譚・賤ヶ岳編：3000PT　銀×4合成
76,風雅脱俗,900,0,0,0,40,90,0,0,0,0,0,天下統一奇譚・賤ヶ岳編：3000PT　銀×4合成
